               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.034077,           0.0062567,            0.003617,             0.93441,             0.89085,             0.93763,             0.75555,            0.017313,           0.0057342,           0.0032896,           0.0099327,           0.0099327,           0.0099327
                  36,            0.031551,           0.0065111,           0.0038609,             0.91647,             0.88794,             0.97071,             0.79158,            0.015331,           0.0046494,           0.0031326,           0.0099307,           0.0099307,           0.0099307
                  37,            0.032288,           0.0067571,           0.0037085,             0.88535,             0.93129,             0.98667,             0.79818,            0.020072,           0.0044477,           0.0029628,           0.0099287,           0.0099287,           0.0099287
                  38,            0.031723,           0.0065939,           0.0037026,             0.91249,             0.87197,             0.93062,             0.79599,            0.018319,           0.0055696,           0.0027636,           0.0099267,           0.0099267,           0.0099267
                  39,            0.033043,           0.0065497,           0.0038644,             0.96317,             0.87593,              0.9475,             0.75041,            0.019108,           0.0050461,           0.0028717,           0.0099248,           0.0099248,           0.0099248
                  40,            0.032663,           0.0065855,           0.0041396,             0.92817,             0.90477,             0.97625,             0.73111,            0.016156,           0.0046308,           0.0025552,           0.0099228,           0.0099228,           0.0099228
                  41,            0.032447,           0.0064608,           0.0033149,             0.86643,             0.94238,             0.94714,             0.77849,            0.018485,           0.0053418,           0.0026546,           0.0099208,           0.0099208,           0.0099208
                  42,            0.030027,           0.0061402,           0.0035671,             0.90119,                0.95,             0.98071,             0.78297,             0.01772,           0.0041015,           0.0028813,           0.0099188,           0.0099188,           0.0099188
                  43,            0.031017,           0.0064834,           0.0031534,             0.91548,             0.94508,             0.98667,             0.82199,            0.018095,           0.0040061,           0.0025773,           0.0099168,           0.0099168,           0.0099168
                  44,            0.029571,           0.0062533,           0.0034626,              0.9272,             0.94728,             0.98071,             0.77792,             0.01622,           0.0043507,           0.0025233,           0.0099149,           0.0099149,           0.0099149
                  45,            0.031306,             0.00641,           0.0033258,             0.92424,             0.96435,               0.995,             0.74347,            0.017104,           0.0040018,           0.0021907,           0.0099129,           0.0099129,           0.0099129
                  46,            0.030156,           0.0062734,           0.0036418,             0.91981,             0.90821,             0.98071,             0.76736,            0.017735,           0.0046069,           0.0023463,           0.0099109,           0.0099109,           0.0099109
                  47,             0.03101,           0.0064146,           0.0034241,             0.93221,                 0.9,             0.94083,             0.79499,             0.02075,           0.0049819,           0.0022252,           0.0099089,           0.0099089,           0.0099089
                  48,            0.031694,           0.0058482,           0.0030168,             0.93005,             0.91162,               0.995,             0.78069,            0.017805,           0.0042739,           0.0021761,           0.0099069,           0.0099069,           0.0099069
